biosequence_name	biosequence_accession	biosequence_gene_name	is_covering	pct_coverage	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	n_distinct_synpeptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
A0A0H2XJY3	A0A0H2XJY3		C		noncore-canonical	  1.000	  0.000	134		11									A0A0H2XJY3	32	2				strain/isolate=APEC UPTR A0A0H2XJY3_ECOK1 CobW C-terminal domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM151 PE=4 SV=1	Escherichia coli
A0A0H2XJY7	A0A0H2XJY7		C		noncore-canonical	  0.999	  0.000	12		7									A0A0H2XJY7	33	1				strain/isolate=APEC UPTR A0A0H2XJY7_ECOK1 Cma OS=Escherichia coli O1:K1 / APEC OX=405955 GN=cma PE=4 SV=1	Escherichia coli
A0A0H2XJY8	A0A0H2XJY8		C		noncore-canonical	  1.000	  0.000	215		24									A0A0H2XJY8	34	2				strain/isolate=APEC UPTR A0A0H2XJY8_ECOK1 HEPN AbiJ-N-terminal domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM156 PE=4 SV=1	Escherichia coli
UPI0001E17A14	UPI0001E17A14		C		noncore-canonical	  0.999	  0.000	324		22									A0A0H2XJY8	34	2				strain/isolate=NC101 status=active	Escherichia coli
A0A0H2XJZ2	A0A0H2XJZ2		C		noncore-canonical	  0.999	  0.000	9		4									A0A0H2XJZ2	35	2				strain/isolate=APEC UPTR A0A0H2XJZ2_ECOK1 Peptidase M14 OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM163 PE=4 SV=1	Escherichia coli
A0A0H2XJZ6	A0A0H2XJZ6		C		noncore-canonical	  1.000	  0.000	597		45									A0A0H2XJZ6	36	2				strain/isolate=APEC UPTR A0A0H2XJZ6_ECOK1 IucC OS=Escherichia coli O1:K1 / APEC OX=405955 GN=iucC PE=3 SV=1	Escherichia coli
UPI00000DF01B	UPI00000DF01B		C		noncore-canonical	  1.000	  0.000	368		31									A0A0H2XJZ6	36	2				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A0H2XK10	A0A0H2XK10		C		noncore-canonical	  1.000	  0.000	144		10									A0A0H2XK10	37	1				strain/isolate=APEC UPTR A0A0H2XK10_ECOK1 Int OS=Escherichia coli O1:K1 / APEC OX=405955 GN=int PE=4 SV=1	Escherichia coli
A0A0H2XK16	A0A0H2XK16		C		noncore-canonical	  0.999	  0.000	8		3									A0A0H2XK16	38	1				strain/isolate=APEC UPTR A0A0H2XK16_ECOK1 RepH12 OS=Escherichia coli O1:K1 / APEC OX=405955 GN=repHI2 PE=4 SV=1	Escherichia coli
A0A0H2XK18	A0A0H2XK18		C		noncore-canonical	  1.000	  0.000	76		14									A0A0H2XK18	39	1				strain/isolate=APEC UPTR A0A0H2XK18_ECOK1 EtsC OS=Escherichia coli O1:K1 / APEC OX=405955 GN=etsC PE=3 SV=1	Escherichia coli
A0A0H2XK64	A0A0H2XK64		C		noncore-canonical	  0.999	  0.000	2		2									A0A0H2XK64	42	1				strain/isolate=APEC UPTR A0A0H2XK64_ECOK1 DNA replication termination protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1R51 PE=4 SV=1	Escherichia coli
A0A0H2XK75	A0A0H2XK75		C		noncore-canonical	  1.000	  0.000	2611		89									A0A0H2XK75	44	2				strain/isolate=APEC UPTR A0A0H2XK75_ECOK1 IutA OS=Escherichia coli O1:K1 / APEC OX=405955 GN=iutA PE=3 SV=1	Escherichia coli
UPI000334263F	UPI000334263F		C		noncore-canonical	  1.000	  0.000	1106		45									A0A0H2XK75	44	2				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A0H2XKA4	A0A0H2XKA4		C		noncore-canonical	  1.000	  0.000	148		19									A0A0H2XKA4	47	1				strain/isolate=APEC UPTR A0A0H2XKA4_ECOK1 EtsA OS=Escherichia coli O1:K1 / APEC OX=405955 GN=etsA PE=3 SV=1	Escherichia coli
A0A0H2XKC0	A0A0H2XKC0		C		noncore-canonical	  0.999	  0.000	5		2									A0A0H2XKC0	48	1				strain/isolate=APEC UPTR A0A0H2XKC0_ECOK1 ParB OS=Escherichia coli O1:K1 / APEC OX=405955 GN=parB PE=4 SV=1	Escherichia coli
A0A0H2XKG6	A0A0H2XKG6		C		noncore-canonical	  0.999	  0.000	18		7									A0A0H2XKG6	51	1				strain/isolate=APEC UPTR A0A0H2XKG6_ECOK1 TerX OS=Escherichia coli O1:K1 / APEC OX=405955 GN=terX PE=3 SV=1	Escherichia coli
A0A0H2XKI9	A0A0H2XKI9		C		noncore-canonical	  0.999	  0.000	21		10									A0A0H2XKI9	54	1				strain/isolate=APEC UPTR A0A0H2XKI9_ECOK1 Capsule biosynthesis protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1R79 PE=3 SV=1	Escherichia coli
A0A0H2XKT6	A0A0H2XKT6		C		noncore-canonical	  1.000	  0.000	150		20									A0A0H2XKT6	55	1				strain/isolate=APEC UPTR A0A0H2XKT6_ECOK1 TraE OS=Escherichia coli O1:K1 / APEC OX=405955 GN=traE PE=4 SV=1	Escherichia coli
B7UTL7	B7UTL7	traE		58.51													identical	A0A0H2XKT6	A0A0H2XKT6	55	1				strain/isolate=E2348-69 UPTR B7UTL7_ECO27 Pilus assembly protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=traE PE=4 SV=1	Escherichia coli
UPI0000003DAD	UPI0000003DAD			58.51													identical	A0A0H2XKT6	A0A0H2XKT6	55	1				strain/isolate=K-12_NCM3722 status=active	Escherichia coli
A0A0H2XKX2	A0A0H2XKX2		C		noncore-canonical	  1.000	  0.000	44		6									A0A0H2XKX2	60	4				strain/isolate=APEC UPTR A0A0H2XKX2_ECOK1 Fertility inhibition protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=finO PE=3 SV=1	Escherichia coli
B7UTI5	B7UTI5	finO	C		noncore-canonical	  0.999	  0.000	25		4									A0A0H2XKX2	60	4				strain/isolate=E2348-69 UPTR B7UTI5_ECO27 Fertility inhibition protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=finO PE=3 SV=1	Escherichia coli
A0A0H2XKZ1	A0A0H2XKZ1		C		noncore-canonical	  1.000	  0.000	388		29									A0A0H2XKZ1	62	1				strain/isolate=APEC UPTR A0A0H2XKZ1_ECOK1 Uncharacterized protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM79 PE=4 SV=1	Escherichia coli
A0A0H2XL10	A0A0H2XL10		C		noncore-canonical	  1.000	  0.000	11		5									A0A0H2XL10	63	1				strain/isolate=APEC UPTR A0A0H2XL10_ECOK1 Acetyltransferase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM81 PE=4 SV=1	Escherichia coli
A0A0H2XL20	A0A0H2XL20		C		noncore-canonical	  1.000	  0.000	33		5									A0A0H2XL20	64	2				strain/isolate=APEC UPTR A0A0H2XL20_ECOK1 Ribbon-helix-helix protein CopG domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM104 PE=4 SV=1	Escherichia coli
A0A0H2XL30	A0A0H2XL30		C		noncore-canonical	  0.999	  0.000	44		4									A0A0H2XL30	65	1				strain/isolate=APEC UPTR A0A0H2XL30_ECOK1 Uncharacterized protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM114 PE=4 SV=1	Escherichia coli
A0A0H2XL46	A0A0H2XL46		C		noncore-canonical	  1.000	  0.000	265		8									A0A0H2XL46	67	1				strain/isolate=APEC UPTR A0A0H2XL46_ECOK1 tRNA(fMet)-specific endonuclease VapC OS=Escherichia coli O1:K1 / APEC OX=405955 GN=vagD PE=3 SV=1	Escherichia coli
A0A0H2XL94	A0A0H2XL94		C		noncore-canonical	  1.000	  0.000	21		7									A0A0H2XL94	70	1				strain/isolate=APEC UPTR A0A0H2XL94_ECOK1 Uncharacterized protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM162 PE=4 SV=1	Escherichia coli
A0A0H2XL98	A0A0H2XL98		C		noncore-canonical	  1.000	  0.000	1794		66									A0A0H2XL98	71	2				strain/isolate=APEC UPTR A0A0H2XL98_ECOK1 IucD OS=Escherichia coli O1:K1 / APEC OX=405955 GN=iucD PE=3 SV=1	Escherichia coli
UPI00000DF01A	UPI00000DF01A		C		noncore-canonical	  1.000	  0.000	1199		53									A0A0H2XL98	71	2				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A0H2XLA6	A0A0H2XLA6		C		noncore-canonical	  1.000	  0.000	986		28									A0A0H2XLA6	72	3				strain/isolate=APEC UPTR A0A0H2XLA6_ECOK1 SitB OS=Escherichia coli O1:K1 / APEC OX=405955 GN=sitB PE=4 SV=1	Escherichia coli
A0A0H2XLB1	A0A0H2XLB1		C		noncore-canonical	  1.000	  0.000	522		25									A0A0H2XLB1	73	2				strain/isolate=APEC UPTR A0A0H2XLB1_ECOK1 RepA OS=Escherichia coli O1:K1 / APEC OX=405955 GN=repA PE=3 SV=1	Escherichia coli
B7UTD0	B7UTD0	repI	C		noncore-canonical	  1.000	  0.000	363		20									A0A0H2XLB1	73	2				strain/isolate=E2348-69 UPTR B7UTD0_ECO27 Replication initiation protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=repI PE=3 SV=1	Escherichia coli
A0A0H2XLB4	A0A0H2XLB4		C		noncore-canonical	  1.000	  0.000	3		2									A0A0H2XLB4	74	1				strain/isolate=APEC UPTR A0A0H2XLB4_ECOK1 Malate dehydrogenase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM164 PE=4 SV=1	Escherichia coli
A0A0H2XLB9	A0A0H2XLB9		C		noncore-canonical	  0.999	  0.000	318		25									A0A0H2XLB9	75	2				strain/isolate=APEC UPTR A0A0H2XLB9_ECOK1 IucB OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM171 PE=4 SV=1	Escherichia coli
A0A0H2XLD1	A0A0H2XLD1		C		noncore-canonical	  1.000	  0.000	208		18									A0A0H2XLD1	76	1				strain/isolate=APEC UPTR A0A0H2XLD1_ECOK1 Antimicrobial resistance protein Mig-14 OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM188 PE=4 SV=1	Escherichia coli
A0A0H2XLK0	A0A0H2XLK0		C		noncore-canonical	  0.999	  0.000	4		2									A0A0H2XLK0	78	1				strain/isolate=APEC UPTR A0A0H2XLK0_ECOK1 ATP-grasp domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1R67 PE=4 SV=1	Escherichia coli
A0A0H2XLL1	A0A0H2XLL1		C		noncore-canonical	  0.999	  0.000	19		4									A0A0H2XLL1	79	1				strain/isolate=APEC UPTR A0A0H2XLL1_ECOK1 TerB OS=Escherichia coli O1:K1 / APEC OX=405955 GN=terB PE=4 SV=1	Escherichia coli
A0A0H2XLM1	A0A0H2XLM1		C		noncore-canonical	  1.000	  0.000	143		4									A0A0H2XLM1	80	1				strain/isolate=APEC UPTR A0A0H2XLM1_ECOK1 Uncharacterized protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1R81 PE=4 SV=1	Escherichia coli
A0A0H2YW84	A0A0H2YW84		C		noncore-canonical	  0.999	  0.000	25		10									A0A0H2YW84	87	1				"strain/isolate=APEC UPTR A0A0H2YW84_ECOK1 Periplasmic binding protein, probable substrate ribose OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1665 PE=3 SV=1"	Escherichia coli
A0A0H2YXM4	A0A0H2YXM4		C		noncore-canonical	  1.000	  0.000	149		19									A0A0H2YXM4	103	1				strain/isolate=APEC UPTR A0A0H2YXM4_ECOK1 Transcriptional regulator OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1385 PE=4 SV=1	Escherichia coli
B7UKW0	B7UKW0	E2348C_0570		82.61													identical	A0A0H2YXM4	A0A0H2YXM4	103	1				"strain/isolate=E2348-69 UPTR B7UKW0_ECO27 Predicted transcriptional regulator, DeoR family OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_0570 PE=4 SV=1"	Escherichia coli
UPI0000043939	UPI0000043939			82.61													identical	A0A0H2YXM4	A0A0H2YXM4	103	1				"strain/isolate=NC101,ATCC_25922 status=active"	Escherichia coli
A0A0H2YXT9	A0A0H2YXT9		C		noncore-canonical	  1.000	  0.000	50		13									A0A0H2YXT9	106	1				strain/isolate=APEC UPTR A0A0H2YXT9_ECOK1 DUF1828 domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_228 PE=4 SV=1	Escherichia coli
UPI0000043ADC	UPI0000043ADC			70													identical	A0A0H2YXT9	A0A0H2YXT9	106	1				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A0H2YXZ2	A0A0H2YXZ2		C		noncore-canonical	  1.000	  0.000	92		8									A0A0H2YXZ2	109	1				strain/isolate=APEC UPTR A0A0H2YXZ2_ECOK1 Uncharacterized protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_275 PE=4 SV=1	Escherichia coli
UPI00000DEACA	UPI00000DEACA			27.34													identical	A0A0H2YXZ2	A0A0H2YXZ2	109	1				"strain/isolate=ATCC_25922,NC101 status=active"	Escherichia coli
A0A0H2XK04	A0A0H2XK04		C		noncore-canonical	  1.000	  0.000	2577		68									A0A0H2YY81	113	2				strain/isolate=APEC UPTR A0A0H2XK04_ECOK1 SitA OS=Escherichia coli O1:K1 / APEC OX=405955 GN=sitA PE=3 SV=1	Escherichia coli
A0A0H2YY81	A0A0H2YY81		C		noncore-canonical	  1.000	  0.000	2586		72									A0A0H2YY81	113	2				"strain/isolate=APEC UPTR A0A0H2YY81_ECOK1 ABC Mn+2/Fe+2 transporter, periplasmic substrate-binding protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=sitA PE=3 SV=1"	Escherichia coli
UPI00005E47BB	UPI00005E47BB			89.47													identical	A0A0H2YY81	A0A0H2YY81	113	2				"strain/isolate=ATCC_25922,NC101 status=active"	Escherichia coli
A0A0H2YY90	A0A0H2YY90		C		noncore-canonical	  1.000	  0.000	26		6									A0A0H2YY90	114	1				strain/isolate=APEC UPTR A0A0H2YY90_ECOK1 N-acetyltransferase domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_382 PE=4 SV=1	Escherichia coli
A0A0H2YYC5	A0A0H2YYC5		C		noncore-canonical	  1.000	  0.000	28		7									A0A0H2YYC5	119	1				strain/isolate=APEC UPTR A0A0H2YYC5_ECOK1 Phage protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_412 PE=4 SV=1	Escherichia coli
A0A0H2YYF9	A0A0H2YYF9		C		noncore-canonical	  0.999	  0.000	25		6									A0A0H2YYF9	120	1				strain/isolate=APEC UPTR A0A0H2YYF9_ECOK1 Repressor protein encoded within prophage CP-933O OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_376 PE=4 SV=1	Escherichia coli
A0A0H2YYG4	A0A0H2YYG4		C		noncore-canonical	  0.999	  0.000	34		11									A0A0H2YYG4	121	1				strain/isolate=APEC UPTR A0A0H2YYG4_ECOK1 RiboL-PSP-HEPN domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_381 PE=4 SV=1	Escherichia coli
A0A0H2YYH2	A0A0H2YYH2		C		noncore-canonical	  1.000	  0.000	33		10									A0A0H2YYH2	123	2				strain/isolate=APEC UPTR A0A0H2YYH2_ECOK1 Ybl58 OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_391 PE=4 SV=1	Escherichia coli
A0A140N7J4	A0A140N7J4		C		noncore-canonical	  1.000	  0.000	34		5									A0A0H2YYH2	123	2				strain/isolate=BL21 UPTR A0A140N7J4_ECOBD Ybl58 OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2258 PE=4 SV=1	Escherichia coli
A0A0H2YYU1	A0A0H2YYU1		C		noncore-canonical	  0.999	  0.000	11		2									A0A0H2YYU1	130	1				strain/isolate=APEC UPTR A0A0H2YYU1_ECOK1 Cytolethal distending toxin subunit A OS=Escherichia coli O1:K1 / APEC OX=405955 GN=cdtA PE=4 SV=1	Escherichia coli
A0A0H2YZD9	A0A0H2YZD9		C		noncore-canonical	  0.999	  0.000	156		10									A0A0H2YZD9	136	1				strain/isolate=APEC UPTR A0A0H2YZD9_ECOK1 Cytolethal distending toxin type IV subunit B OS=Escherichia coli O1:K1 / APEC OX=405955 GN=cdtB PE=4 SV=1	Escherichia coli
A0A0H2YZU6	A0A0H2YZU6		C		noncore-canonical	  1.000	  0.000	53		17									A0A0H2YZU6	137	2				strain/isolate=APEC UPTR A0A0H2YZU6_ECOK1 Phage-related minor tail protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_6007 PE=4 SV=1	Escherichia coli
A0A0H2YZV6	A0A0H2YZV6		C		noncore-canonical	  1.000	  0.000	138		18									A0A0H2YZV6	138	1				strain/isolate=APEC UPTR A0A0H2YZV6_ECOK1 Phage portal protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1024 PE=4 SV=1	Escherichia coli
A0A0H2YZZ5	A0A0H2YZZ5		C		noncore-canonical	  1.000	  0.000	54		8									A0A0H2YZZ5	140	2				strain/isolate=APEC UPTR A0A0H2YZZ5_ECOK1 Tail assembly chaperone OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1016 PE=4 SV=1	Escherichia coli
A0A0H2Z008	A0A0H2Z008		C		noncore-canonical	  1.000	  0.000	194		17									A0A0H2Z008	142	2				strain/isolate=APEC UPTR A0A0H2Z008_ECOK1 Phage major tail subunit OS=Escherichia coli O1:K1 / APEC OX=405955 GN=gp14 PE=4 SV=1	Escherichia coli
A0A0H2Z013	A0A0H2Z013		C		noncore-canonical	  1.000	  0.000	797		51									A0A0H2Z013	143	1				strain/isolate=APEC UPTR A0A0H2Z013_ECOK1 Phage capsid protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1022 PE=4 SV=1	Escherichia coli
A0A0H2Z033	A0A0H2Z033		C		noncore-canonical	  1.000	  0.000	30		7									A0A0H2Z033	146	1				strain/isolate=APEC UPTR A0A0H2Z033_ECOK1 Head-tail adaptor OS=Escherichia coli O1:K1 / APEC OX=405955 GN=gp7 PE=4 SV=1	Escherichia coli
A0A0H2Z034	A0A0H2Z034		C		noncore-canonical	  1.000	  0.000	83		10									A0A0H2Z034	147	1				strain/isolate=APEC UPTR A0A0H2Z034_ECOK1 Transcriptional regulator OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1043 PE=4 SV=1	Escherichia coli
A0A0H2Z036	A0A0H2Z036		C		noncore-canonical	  0.999	  0.000	31		9									A0A0H2Z036	148	1				strain/isolate=APEC UPTR A0A0H2Z036_ECOK1 Phage terminase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1025 PE=4 SV=1	Escherichia coli
A0A0H2Z061	A0A0H2Z061		C		noncore-canonical	  0.999	  0.000	145		17									A0A0H2Z061	152	2				strain/isolate=APEC UPTR A0A0H2Z061_ECOK1 Methyl-accepting chemotaxis protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1095 PE=4 SV=1	Escherichia coli
B7UP35	B7UP35	E2348C_1111		65.45													identical	A0A0H2Z061	A0A0H2Z061	152	2				strain/isolate=E2348-69 UPTR B7UP35_ECO27 Methyl-accepting chemotaxis protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_1111 PE=4 SV=1	Escherichia coli
A0A0H2Z072	A0A0H2Z072		C		noncore-canonical	  0.999	  0.000	27		5									A0A0H2Z072	153	1				strain/isolate=APEC UPTR A0A0H2Z072_ECOK1 Ribokinase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=rbsK PE=3 SV=1	Escherichia coli
UPI00000DED21	UPI00000DED21			19.31													identical	A0A0H2Z072	A0A0H2Z072	153	1				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A0H2Z089	A0A0H2Z089		C		noncore-canonical	  1.000	  0.000	14		9									A0A0H2Z089	154	2				strain/isolate=APEC UPTR A0A0H2Z089_ECOK1 Uncharacterized protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1092 PE=4 SV=1	Escherichia coli
A0A0H2Z093	A0A0H2Z093		C		noncore-canonical	  1.000	  0.000	18		4									A0A0H2Z093	155	2				strain/isolate=APEC UPTR A0A0H2Z093_ECOK1 Uncharacterized protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1099 PE=4 SV=1	Escherichia coli
UPI0000043B6C	UPI0000043B6C		C		noncore-canonical	  1.000	  0.000	46		4									A0A0H2Z093	155	2				strain/isolate=ATCC_25922 status=active	Escherichia coli
