biosequence_name	biosequence_accession	biosequence_gene_name	is_covering	pct_coverage	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	n_distinct_synpeptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
A0A0H2XL69	A0A0H2XL69		C		marginally distinguished	  1.000	  0.000	6		2									A0A0H2XL69	68	2				strain/isolate=APEC UPTR A0A0H2XL69_ECOK1 YacC OS=Escherichia coli O1:K1 / APEC OX=405955 GN=yacC PE=4 SV=1	Escherichia coli
A0A0H2YW54	A0A0H2YW54		C		marginally distinguished	  0.999	  0.000	78		10									A0A0H2YW54	85	3				strain/isolate=APEC UPTR A0A0H2YW54_ECOK1 NADH-dependent flavin oxidoreductase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1700 PE=4 SV=1	Escherichia coli
UPI0000D5066C	UPI0000D5066C			38.68													identical	A0A0H2YW54	A0A0H2YW54	85	3				"strain/isolate=NC101,ATCC_25922 status=active"	Escherichia coli
A0A0H2YWG4	A0A0H2YWG4		C		marginally distinguished	  1.000	  0.000	563		21									A0A0H2YWG4	90	4				strain/isolate=APEC UPTR A0A0H2YWG4_ECOK1 Xaa-Pro dipeptidyl-peptidase-like domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=ycjY PE=4 SV=1	Escherichia coli
UPI0000043A8F	UPI0000043A8F			72.88													identical	A0A0H2YWG4	A0A0H2YWG4	90	4				"strain/isolate=NC101,ATCC_25922 status=active"	Escherichia coli
A0A0H2YXY6	A0A0H2YXY6		C		marginally distinguished	  0.999	  0.000	14		2									A0A0H2YXY6	108	2				strain/isolate=APEC UPTR A0A0H2YXY6_ECOK1 Ybl63 OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_270 PE=4 SV=1	Escherichia coli
A0A140NCB9	A0A140NCB9			21.65													identical	A0A0H2YXY6	A0A0H2YXY6	108	2				strain/isolate=BL21 UPTR A0A140NCB9_ECOBD Ybl63 OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2251 PE=4 SV=1	Escherichia coli
UPI00000DEAC4	UPI00000DEAC4			21.65													identical	A0A0H2YXY6	A0A0H2YXY6	108	2				"strain/isolate=ATCC_25922,NC101 status=active"	Escherichia coli
A0A0H2YY20	A0A0H2YY20		C		marginally distinguished	  1.000	  0.000	93		20									A0A0H2YY20	110	3				strain/isolate=APEC UPTR A0A0H2YY20_ECOK1 Methyltransferase domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_310 PE=4 SV=1	Escherichia coli
UPI00000B525E	UPI00000B525E			65.93													identical	A0A0H2YY20	A0A0H2YY20	110	3				"strain/isolate=ATCC_25922,NC101 status=active"	Escherichia coli
A0A0H2YY62	A0A0H2YY62		C		marginally distinguished	  0.999	  0.000	75		11									A0A0H2YY62	112	2				strain/isolate=APEC UPTR A0A0H2YY62_ECOK1 DNA packaging protein from phage origin OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_253 PE=4 SV=1	Escherichia coli
UPI00000DEAB2	UPI00000DEAB2			64.29													identical	A0A0H2YY62	A0A0H2YY62	112	2				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A0H2YZZ2	A0A0H2YZZ2		C		marginally distinguished	  0.999	  0.000	47		12									A0A0H2YZZ2	139	2				strain/isolate=APEC UPTR A0A0H2YZZ2_ECOK1 Yersiniabactin siderophore biosynthetic protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=ybtE PE=4 SV=1	Escherichia coli
B7UR47	B7UR47	E2348C_1429	C		marginally distinguished	  1.000	  0.000	13		2									A0A0H2Z008	142	2				strain/isolate=E2348-69 UPTR B7UR47_ECO27 Predicted major tail protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_1429 PE=4 SV=1	Escherichia coli
A0A0H2Z052	A0A0H2Z052		C		marginally distinguished	  0.999	  0.000	415		48									A0A0H2Z052	151	2				strain/isolate=APEC UPTR A0A0H2Z052_ECOK1 Anthranilate synthase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1052 PE=4 SV=1	Escherichia coli
UPI00000DE75E	UPI00000DE75E		C		marginally distinguished	  0.999	  0.000	142		16									A0A0H2Z061	152	2				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A0H2Z283	A0A0H2Z283		C		marginally distinguished	  1.000	  0.000	33		4									A0A0H2Z283	200	3				strain/isolate=APEC UPTR A0A0H2Z283_ECOK1 PPC domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_3605 PE=4 SV=1	Escherichia coli
B7UHX0	B7UHX0	E2348C_3175		47.55													identical	A0A0H2Z283	A0A0H2Z283	200	3				strain/isolate=E2348-69 UPTR B7UHX0_ECO27 Predicted DNA-binding protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_3175 PE=4 SV=1	Escherichia coli
A0A0H2Z2C2	A0A0H2Z2C2		C		marginally distinguished	  1.000	  0.000	107		18									A0A0H2Z2C2	201	2				strain/isolate=APEC UPTR A0A0H2Z2C2_ECOK1 PapG OS=Escherichia coli O1:K1 / APEC OX=405955 GN=papG PE=4 SV=1	Escherichia coli
UPI0001DC430B	UPI0001DC430B		C		marginally distinguished	  0.999	  0.000	238		19									A0A0H2Z2C6	202	2				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A0H2Z2H9	A0A0H2Z2H9		C		marginally distinguished	  0.999	  0.000	25		3									A0A0H2Z2H9	206	3				strain/isolate=APEC UPTR A0A0H2Z2H9_ECOK1 Type II secretion system core protein G OS=Escherichia coli O1:K1 / APEC OX=405955 GN=gspG PE=3 SV=1	Escherichia coli
B7UI34	B7UI34	gspG		38.41													identical	A0A0H2Z2H9	A0A0H2Z2H9	206	3				strain/isolate=E2348-69 UPTR B7UI34_ECO27 Type II secretion system core protein G OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=gspG PE=3 SV=1	Escherichia coli
A0A0H2Z2K5	A0A0H2Z2K5		C		marginally distinguished	  0.999	  0.000	6		3									A0A0H2Z2K5	212	2				strain/isolate=APEC UPTR A0A0H2Z2K5_ECOK1 Phosphoglycerate transporter protein PgtP OS=Escherichia coli O1:K1 / APEC OX=405955 GN=pgtP PE=4 SV=1	Escherichia coli
UPI0001E17516	UPI0001E17516		C		marginally distinguished	  0.999	  0.000	27		3									A0A0H2Z2K5	212	2				strain/isolate=NC101 status=active	Escherichia coli
A0A0H2Z2Q0	A0A0H2Z2Q0		C		marginally distinguished	  0.999	  0.000	19		2									A0A0H2Z2Q0	218	3				strain/isolate=APEC UPTR A0A0H2Z2Q0_ECOK1 Type II secretion system protein J OS=Escherichia coli O1:K1 / APEC OX=405955 GN=gspJ PE=3 SV=1	Escherichia coli
UPI000191E8B9	UPI000191E8B9		C		marginally distinguished	  1.000	  0.000	369		27									A0A0H2Z2Q1	219	3				strain/isolate=NC101 status=active	Escherichia coli
A0A0H2Z2R2	A0A0H2Z2R2		C		marginally distinguished	  1.000	  0.000	7		3									A0A0H2Z2R2	221	2				strain/isolate=APEC UPTR A0A0H2Z2R2_ECOK1 Transport permease protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=kpsM PE=3 SV=1	Escherichia coli
UPI000012DF7B	UPI000012DF7B			16.67													identical	A0A0H2Z2R2	A0A0H2Z2R2	221	2				strain/isolate=NC101 status=active	Escherichia coli
A0A0H2Z3N3	A0A0H2Z3N3		C		marginally distinguished	  1.000	  0.000	375		15									A0A0H2Z3N3	242	3				strain/isolate=APEC UPTR A0A0H2Z3N3_ECOK1 Heme utilization cystosolic carrier protein HutX OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_2945 PE=4 SV=1	Escherichia coli
UPI00000439EA	UPI00000439EA			72.56													identical	A0A0H2Z3N3	A0A0H2Z3N3	242	3				"strain/isolate=ATCC_25922,NC101 status=active"	Escherichia coli
A0A0H2Z3R1	A0A0H2Z3R1		C		marginally distinguished	  0.999	  0.000	803		49									A0A0H2Z3R1	243	4				strain/isolate=APEC UPTR A0A0H2Z3R1_ECOK1 Iron compound receptor OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_3384 PE=3 SV=1	Escherichia coli
UPI000004391C	UPI000004391C			63.81													identical	A0A0H2Z3R1	A0A0H2Z3R1	243	4				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A0H2Z3U0	A0A0H2Z3U0		C		marginally distinguished	  0.999	  0.000	35		4									A0A0H2Z3U0	244	2				strain/isolate=APEC UPTR A0A0H2Z3U0_ECOK1 Phosphotransferase system enzyme subunit OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_2970 PE=4 SV=1	Escherichia coli
UPI0000D50D43	UPI0000D50D43			68.82													identical	A0A0H2Z3U0	A0A0H2Z3U0	244	2				"strain/isolate=ATCC_25922,NC101 status=active"	Escherichia coli
A0A0H2Z460	A0A0H2Z460		C		marginally distinguished	  1.000	  0.000	290		16									A0A0H2Z460	246	3				"strain/isolate=APEC UPTR A0A0H2Z460_ECOK1 UDP-galactose:(Galactosyl) LPS alpha1,2-galactosyltransferase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=rfaJ PE=3 SV=1"	Escherichia coli
UPI00000B402C	UPI00000B402C			51.46													identical	A0A0H2Z460	A0A0H2Z460	246	3				"strain/isolate=NC101,ATCC_25922 status=active"	Escherichia coli
A0A0H2Z489	A0A0H2Z489		C		marginally distinguished	  1.000	  0.000	27		12									A0A0H2Z489	250	2				strain/isolate=APEC UPTR A0A0H2Z489_ECOK1 Cytoplasmic protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_2795 PE=4 SV=1	Escherichia coli
A0A0H2Z508	A0A0H2Z508		C		marginally distinguished	  1.000	  0.000	37		12									A0A0H2Z508	261	3				"strain/isolate=APEC UPTR A0A0H2Z508_ECOK1 Beta-1,3-glucosyltransferase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=waaV PE=4 SV=1"	Escherichia coli
A0A140N629	A0A140N629		C		marginally distinguished	  1.000	  0.000	60		11									A0A0H2Z508	261	3				strain/isolate=BL21 UPTR A0A140N629_ECOBD Glycosyl transferase family 2 OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0103 PE=4 SV=1	Escherichia coli
UPI00000BBF38	UPI00000BBF38			41.9													identical	A0A0H2Z508	A0A0H2Z508	261	3				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A0H2Z512	A0A0H2Z512		C		marginally distinguished	  0.999	  0.000	95		23									A0A0H2Z512	262	2				strain/isolate=APEC UPTR A0A0H2Z512_ECOK1 KAP family P-loop domain containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_2276 PE=4 SV=1	Escherichia coli
A0A0H2Z5K7	A0A0H2Z5K7		C		marginally distinguished	  1.000	  0.000	3		2									A0A0H2Z5K7	275	2				strain/isolate=APEC UPTR A0A0H2Z5K7_ECOK1 KilA-N domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_2037 PE=4 SV=1	Escherichia coli
A0A0H2XL29	A0A0H2XL29		C		marginally distinguished	  1.000	  0.000	148		21									A0A140N4A3	295	2				strain/isolate=APEC UPTR A0A0H2XL29_ECOK1 Autotransporter domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_O1CoBM96 PE=4 SV=1	Escherichia coli
A0A0H2Z645	A0A0H2Z645		C		marginally distinguished	  1.000	  0.000	119		13									A0A140N4B1	296	3				strain/isolate=APEC UPTR A0A0H2Z645_ECOK1 ShiA-like protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=shiA PE=4 SV=1	Escherichia coli
UPI0002A3720B	UPI0002A3720B		C		marginally distinguished	  1.000	  0.000	117		13									A0A140N4B1	296	3				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A0H2Z0B5	A0A0H2Z0B5		C		marginally distinguished	  1.000	  0.000	314		10									A0A140N8B9	307	3				"strain/isolate=APEC UPTR A0A0H2Z0B5_ECOK1 dTDP-4-dehydrorhamnose 3,5-epimerase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=rmlC PE=3 SV=1"	Escherichia coli
A0A0H2Z4T4	A0A0H2Z4T4		C		marginally distinguished	  1.000	  0.000	96		13									A0A140NCW7	332	4				strain/isolate=APEC UPTR A0A0H2Z4T4_ECOK1 Periplasmic binding protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_2627 PE=3 SV=1	Escherichia coli
UPI00000DF2F7	UPI00000DF2F7		C		marginally distinguished	  1.000	  0.000	120		13									A0A140NCW7	332	4				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A140NEX4	A0A140NEX4		C		marginally distinguished	  1.000	  0.000	450		18									A0A140NEX4	343	6				strain/isolate=BL21 UPTR A0A140NEX4_ECOBD Acetolactate synthase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_4227 PE=3 SV=1	Escherichia coli
D6IHR1	D6IHR1	ECDG_02746	C		marginally distinguished	  1.000	  0.000	21		8									A0A140NG13	345	2				"strain/isolate=B185 UPTR D6IHR1_ECOLX 2-hydroxyhepta-2,4-diene-1,7-dioate isomerase OS=Escherichia coli B185 OX=550676 GN=ECDG_02746 PE=4 SV=1"	Escherichia coli
B7UQP6	B7UQP6	cybC	C		marginally distinguished	  1.000	  0.000	1232		23									A0A140NGY2	349	7				strain/isolate=E2348-69 UPTR B7UQP6_ECO27 Soluble cytochrome b562 OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=cybC PE=3 SV=1	Escherichia coli
UPI000011E140	UPI000011E140		C		marginally distinguished	  1.000	  0.000	1311		26									A0A140NGY2	349	7				"strain/isolate=K-12_W3110,K-12_NCM3722 status=active"	Escherichia coli
ECFI4_03905	ECFI4_03905			86.72													identical	B7UQP6	A0A140NGY2	349	7				strain/isolate=ST73 Cytochrome b562 OS=Escherichia coli (strain K12) OX=83333 GN=cybC PE=4 SV=1	Escherichia coli
UPI00000E4AB8	UPI00000E4AB8			86.72													identical	B7UQP6	A0A140NGY2	349	7				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A385XJ53	A0A385XJ53		C		marginally distinguished	  1.000	  0.000	140		6									A0A385XJ53	350	9				strain/isolate=K-12 UPSP INSA9_ECOLI Insertion element IS1 9 protein InsA OS=Escherichia coli (strain K12) OX=83333 GN=insA9 PE=3 SV=1	Escherichia coli
P0CF08	P0CF08	insA2	C		marginally distinguished	  1.000	  0.000	88		6									A0A385XJ53	350	9				strain/isolate=K-12 UPSP INSA2_ECOLI Insertion element IS1 2 protein InsA OS=Escherichia coli (strain K12) OX=83333 GN=insA2 PE=3 SV=1	Escherichia coli
P19767	P19767	insA7	C		marginally distinguished	  1.000	  0.000	12		3									A0A385XJ53	350	9				strain/isolate=K-12 UPSP INSA7_ECOLI Insertion element IS1 7 protein InsA OS=Escherichia coli (strain K12) OX=83333 GN=insA7 PE=3 SV=1	Escherichia coli
ECFI20_00026	ECFI20_00026			73.63													identical	A0A0G2QC68	A0A385XJ53	350	9				strain/isolate=ST131 IS1 protein InsA	Escherichia coli
ECFI20_00250	ECFI20_00250			73.63													identical	A0A0G2QC68	A0A385XJ53	350	9				strain/isolate=ST131 IS1 protein InsA	Escherichia coli
ECFI20_01809	ECFI20_01809			73.63													identical	A0A0G2QC68	A0A385XJ53	350	9				strain/isolate=ST131 IS1 protein InsA	Escherichia coli
ECFI20_03292	ECFI20_03292			73.63													identical	A0A0G2QC68	A0A385XJ53	350	9				strain/isolate=ST131 IS1 protein InsA	Escherichia coli
A0A0G2QC68	A0A0G2QC68			73.63													indistinguishable	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=APEC UPTR A0A0G2QC68_ECOK1 InsA OS=Escherichia coli O1:K1 / APEC OX=405955 GN=insA PE=3 SV=1	Escherichia coli
A0A140NA59	A0A140NA59			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=BL21 UPTR A0A140NA59_ECOBD Insertion element protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0099 PE=3 SV=1	Escherichia coli
ECFI10_00023	ECFI10_00023			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=ST93 IS1 protein InsA	Escherichia coli
ECFI10_00256	ECFI10_00256			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=ST93 IS1 protein InsA	Escherichia coli
ECFI10_00267	ECFI10_00267			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=ST93 IS1 protein InsA	Escherichia coli
ECFI10_01871	ECFI10_01871			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=ST93 IS1 protein InsA	Escherichia coli
ECFI10_03356	ECFI10_03356			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=ST93 IS1 protein InsA	Escherichia coli
ECFI19_00023	ECFI19_00023			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=ST1421 IS1 protein InsA	Escherichia coli
ECFI19_00246	ECFI19_00246			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=ST1421 IS1 protein InsA	Escherichia coli
ECFI19_01866	ECFI19_01866			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=ST1421 IS1 protein InsA	Escherichia coli
ECFI19_03366	ECFI19_03366			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=ST1421 IS1 protein InsA	Escherichia coli
ECFI4_00021	ECFI4_00021			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=ST73 IS1 protein InsA	Escherichia coli
ECFI4_00242	ECFI4_00242			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=ST73 IS1 protein InsA	Escherichia coli
ECFI4_01694	ECFI4_01694			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=ST73 IS1 protein InsA	Escherichia coli
ECFI4_03113	ECFI4_03113			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=ST73 IS1 protein InsA	Escherichia coli
P0CF07	P0CF07	insA1		73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=K-12 UPSP INSA1_ECOLI Insertion element IS1 1 protein InsA OS=Escherichia coli (strain K12) OX=83333 GN=insA1 PE=3 SV=1	Escherichia coli
P0CF11	P0CF11	insA5		73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=K-12 UPSP INSA5_ECOLI Insertion element IS1 5 protein InsA OS=Escherichia coli (strain K12) OX=83333 GN=insA5 PE=3 SV=1	Escherichia coli
P0CF12	P0CF12	insA6		73.63													identical	A0A385XJ53	A0A385XJ53	350	9				strain/isolate=K-12 UPSP INSA6_ECOLI Insertion element IS1 6 protein InsA OS=Escherichia coli (strain K12) OX=83333 GN=insA6 PE=3 SV=1	Escherichia coli
UPI00000009E0	UPI00000009E0			73.63													identical	A0A385XJ53	A0A385XJ53	350	9				"strain/isolate=DH5,K-12_MC4100,BW25113,K-12_NCM3722 status=active"	Escherichia coli
ECFI19_00256	ECFI19_00256			73.63													identical	P0CF08	A0A385XJ53	350	9				strain/isolate=ST1421 IS1 protein InsA	Escherichia coli
P0CF09	P0CF09	insA3		73.63													identical	P0CF08	A0A385XJ53	350	9				strain/isolate=K-12 UPSP INSA3_ECOLI Insertion element IS1 3 protein InsA OS=Escherichia coli (strain K12) OX=83333 GN=insA3 PE=3 SV=1	Escherichia coli
P0CF10	P0CF10	insA4		73.63													identical	P0CF08	A0A385XJ53	350	9				strain/isolate=K-12 UPSP INSA4_ECOLI Insertion element IS1 4 protein InsA OS=Escherichia coli (strain K12) OX=83333 GN=insA4 PE=3 SV=1	Escherichia coli
UPI0000003DD5	UPI0000003DD5			73.63													identical	P0CF08	A0A385XJ53	350	9				"strain/isolate=K-12_NCM3722,BW25113,K-12_MC4100 status=active"	Escherichia coli
UPI00000D2AB4	UPI00000D2AB4			40.66													identical	P19767	A0A385XJ53	350	9				"strain/isolate=BW25113,K-12_MC4100 status=active"	Escherichia coli
A0A0H2Z227	A0A0H2Z227		C		marginally distinguished	  0.999	  0.000	2		2									B7UGP7	389	2				strain/isolate=APEC UPTR A0A0H2Z227_ECOK1 Endolysin OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_4061 PE=4 SV=1	Escherichia coli
B7UHD1	B7UHD1	E2348C_2981	C		marginally distinguished	  1.000	  0.000	19		4									B7UHD1	403	3				strain/isolate=E2348-69 UPTR B7UHD1_ECO27 HTH cro/C1-type domain-containing protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_2981 PE=4 SV=1	Escherichia coli
B7UI96	B7UI96	E2348C_0051	C		marginally distinguished	  1.000	  0.000	50		5									B7UI96	414	2				strain/isolate=E2348-69 UPTR B7UI96_ECO27 Toxin CcdB OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_0051 PE=3 SV=1	Escherichia coli
UPI00000DE6E4	UPI00000DE6E4			55.77													identical	B7UI96	B7UI96	414	2				"strain/isolate=ATCC_25922,NC101 status=active"	Escherichia coli
D6I6A2	D6I6A2	ECDG_00085	C		marginally distinguished	  1.000	  0.000	498		28									B7UJF0	419	4				strain/isolate=B185 UPTR D6I6A2_ECOLX Pyridoxine 4-dehydrogenase OS=Escherichia coli B185 OX=550676 GN=ECDG_00085 PE=4 SV=1	Escherichia coli
UPI0000043A92	UPI0000043A92		C		marginally distinguished	  1.000	  0.000	588		28									B7UJF0	419	4				"strain/isolate=NC101,ATCC_25922 status=active"	Escherichia coli
B7ULU3	B7ULU3	E2348C_0697	C		marginally distinguished	  1.000	  0.000	18		3									B7ULU3	432	3				strain/isolate=E2348-69 UPTR B7ULU3_ECO27 Predicted head-tail joining protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_0697 PE=4 SV=1	Escherichia coli
B7ULU5	B7ULU5	E2348C_0699	C		marginally distinguished	  1.000	  0.000	465		29									B7ULU5	433	5				strain/isolate=E2348-69 UPTR B7ULU5_ECO27 Predicted head protein/prohead protease OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_0699 PE=3 SV=1	Escherichia coli
UPI000334299F	UPI000334299F		C		marginally distinguished	  0.999	  0.000	385		20									B7ULU5	433	5				strain/isolate=ATCC_25922 status=active	Escherichia coli
UPI00018888B9	UPI00018888B9		C		marginally distinguished	  0.999	  0.000	129		8									B7ULU6	434	2				strain/isolate=ATCC_25922 status=active	Escherichia coli
UPI00033422BB	UPI00033422BB		C		marginally distinguished	  1.000	  0.000	2106		83									B7ULU7	435	5				strain/isolate=ATCC_25922 status=active	Escherichia coli
B7UNF9	B7UNF9	E2348C_4143	C		marginally distinguished	  1.000	  0.000	89		10									B7UNF9	483	3				strain/isolate=E2348-69 UPTR B7UNF9_ECO27 Cysteine hydrolases superfamily protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_4143 PE=4 SV=1	Escherichia coli
B7UNJ8	B7UNJ8	E2348C_4182	C		marginally distinguished	  1.000	  0.000	84		9									B7UNJ8	484	2				strain/isolate=E2348-69 UPTR B7UNJ8_ECO27 Predicted dehydrogenase OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_4182 PE=3 SV=1	Escherichia coli
UPI000004392F	UPI000004392F			35.12													identical	B7UNJ8	B7UNJ8	484	2				"strain/isolate=ATCC_25922,NC101 status=active"	Escherichia coli
B7UPQ1	B7UPQ1	E2348C_4406	C		marginally distinguished	  1.000	  0.000	2063		48									B7UPQ1	500	3				"strain/isolate=E2348-69 UPTR B7UPQ1_ECO27 Predicted ABC-type dipeptide transport system, periplasmic component OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_4406 PE=4 SV=1"	Escherichia coli
UPI0002A265B0	UPI0002A265B0		C		marginally distinguished	  0.999	  0.000	3		2									B7UQ15	505	2				strain/isolate=ATCC_25922 status=active	Escherichia coli
D6IHK1	D6IHK1	ECDG_02684	C		marginally distinguished	  1.000	  0.000	29		6									B7UQU2	516	4				strain/isolate=B185 UPTR D6IHK1_ECOLX Type I restriction modification system specificity protein OS=Escherichia coli B185 OX=550676 GN=ECDG_02684 PE=3 SV=1	Escherichia coli
