biosequence_name	biosequence_accession	biosequence_gene_name	is_covering	pct_coverage	presence_level	probability	confidence	n_observations	norm_PSMs_per_100K	n_distinct_peptides	n_distinct_synpeptides	chromosome	genetic_locus	start_in_chromosome	end_in_chromosome	strand	relationship_phrase	reference_biosequence	represented_by_biosequence_id	group_number	seq_unique_prots_in_group	protein_group_seq_align_link	is_keratin	is_immunoglobulin	biosequence_description	organism_full_name
A0A0H2YXL0	A0A0H2YXL0		C		weak	  0.999	  0.000	1		1									A0A0H2YXL0	102	1				strain/isolate=APEC UPTR A0A0H2YXL0_ECOK1 HD Cas3-type domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1210 PE=3 SV=1	Escherichia coli
A0A0H2YYB3	A0A0H2YYB3		C		weak	  1.000	  0.000	1		1									A0A0H2YYB3	118	1				strain/isolate=APEC UPTR A0A0H2YYB3_ECOK1 DNA packaging protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_402 PE=4 SV=1	Escherichia coli
A0A0H2YYM2	A0A0H2YYM2		C		weak	  0.999	  0.000	1		1									A0A0H2YYM2	127	1				strain/isolate=APEC UPTR A0A0H2YYM2_ECOK1 Cytolethal distending toxin type IV subunit C OS=Escherichia coli O1:K1 / APEC OX=405955 GN=cdtC PE=4 SV=1	Escherichia coli
A0A0H2YZ91	A0A0H2YZ91		C		weak	  0.999	  0.000	17		1									A0A0H2YZ91	133	1				strain/isolate=APEC UPTR A0A0H2YZ91_ECOK1 Epoxyqueuosine reductase QueH OS=Escherichia coli O1:K1 / APEC OX=405955 GN=queH PE=3 SV=1	Escherichia coli
A0A0H2YZA4	A0A0H2YZA4		C		weak	  0.999	  0.000	1		1									A0A0H2YZA4	134	1				strain/isolate=APEC UPTR A0A0H2YZA4_ECOK1 DUF6651 domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_524 PE=4 SV=1	Escherichia coli
A0A0H2Z001	A0A0H2Z001		C		weak	  1.000	  0.000	5		2									A0A0H2Z001	141	1				strain/isolate=APEC UPTR A0A0H2Z001_ECOK1 Phage protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1021 PE=4 SV=1	Escherichia coli
A0A0H2Z020	A0A0H2Z020		C		weak	  0.999	  0.000	1		1									A0A0H2Z020	144	1				strain/isolate=APEC UPTR A0A0H2Z020_ECOK1 AB hydrolase-1 domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1010 PE=4 SV=1	Escherichia coli
A0A0H2Z043	A0A0H2Z043		C		weak	  1.000	  0.000	2		1									A0A0H2Z043	150	1				strain/isolate=APEC UPTR A0A0H2Z043_ECOK1 Prophage protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1035 PE=4 SV=1	Escherichia coli
A0A0H2Z0J7	A0A0H2Z0J7		C		weak	  0.993	  0.000	1		1									A0A0H2Z0J7	161	1				strain/isolate=APEC UPTR A0A0H2Z0J7_ECOK1 Endopeptidase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1028 PE=3 SV=1	Escherichia coli
A0A0H2Z0K3	A0A0H2Z0K3		C		weak	  0.999	  0.000	1		1									A0A0H2Z0K3	162	1				strain/isolate=APEC UPTR A0A0H2Z0K3_ECOK1 Crossover junction endodeoxyribonuclease rusA OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_1033 PE=3 SV=1	Escherichia coli
A0A0H2Z0Y1	A0A0H2Z0Y1		C		weak	  1.000	  0.000	1		1									A0A0H2Z0Y1	167	1				strain/isolate=APEC UPTR A0A0H2Z0Y1_ECOK1 Prophage protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_42112 PE=4 SV=1	Escherichia coli
A0A0H2Z130	A0A0H2Z130		C		weak	  0.999	  0.000	2		1									A0A0H2Z130	174	1				strain/isolate=APEC UPTR A0A0H2Z130_ECOK1 Phage scaffold protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_4203 PE=4 SV=1	Escherichia coli
A0A0H2Z132	A0A0H2Z132		C		weak	  1.000	  0.000	2		2									A0A0H2Z132	175	1				strain/isolate=APEC UPTR A0A0H2Z132_ECOK1 Coat protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_4204 PE=4 SV=1	Escherichia coli
A0A0H2Z1I1	A0A0H2Z1I1		C		weak	  0.990	  0.000	2		1									A0A0H2Z1I1	180	1				strain/isolate=APEC UPTR A0A0H2Z1I1_ECOK1 Ead/Ea22-like family protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_4034 PE=4 SV=1	Escherichia coli
A0A0H2Z1V9	A0A0H2Z1V9		C		weak	  0.970	  0.000	9		1									A0A0H2Z1V9	192	1				strain/isolate=APEC UPTR A0A0H2Z1V9_ECOK1 Integrase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_3866 PE=3 SV=1	Escherichia coli
A0A0H2Z202	A0A0H2Z202		C		weak	  0.999	  0.000	1		1									A0A0H2Z202	195	1				strain/isolate=APEC UPTR A0A0H2Z202_ECOK1 LexA repressor DNA-binding domain-containing protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_3879 PE=4 SV=1	Escherichia coli
A0A0H2Z2G8	A0A0H2Z2G8		C		weak	  1.000	  0.000	5		3									A0A0H2Z2G8	205	1				strain/isolate=APEC UPTR A0A0H2Z2G8_ECOK1 Type VI secretion lipoprotein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_3696 PE=4 SV=1	Escherichia coli
UPI0000043A0A	UPI0000043A0A			7.87													identical	A0A0H2Z2G8	A0A0H2Z2G8	205	1				"strain/isolate=ATCC_25922,NC101 status=active"	Escherichia coli
A0A0H2Z2J6	A0A0H2Z2J6		C		weak	  0.999	  0.000	2		1									A0A0H2Z2J6	209	1				strain/isolate=APEC UPTR A0A0H2Z2J6_ECOK1 Phage protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_3897 PE=4 SV=1	Escherichia coli
A0A0H2Z2M7	A0A0H2Z2M7		C		weak	  0.999	  0.000	1		1									A0A0H2Z2M7	215	1				strain/isolate=APEC UPTR A0A0H2Z2M7_ECOK1 Uncharacterized protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_3867 PE=4 SV=1	Escherichia coli
A0A0H2Z2T1	A0A0H2Z2T1		C		weak	  1.000	  0.000	20		3									A0A0H2Z2T1	223	2				strain/isolate=APEC UPTR A0A0H2Z2T1_ECOK1 PapB-like protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_3518 PE=4 SV=1	Escherichia coli
UPI00000AEB13	UPI00000AEB13		C		weak	  1.000	  0.000	25		3									A0A0H2Z2T1	223	2				"strain/isolate=NC101,ATCC_25922 status=active"	Escherichia coli
UPI00000001D5	UPI00000001D5			29.81													identical	A0A0H2Z2T1	A0A0H2Z2T1	223	2				strain/isolate=ATCC_25922 status=active	Escherichia coli
A0A0H2Z2U8	A0A0H2Z2U8		C		weak	  0.969	  0.000	7		1									A0A0H2Z2U8	226	1				strain/isolate=APEC UPTR A0A0H2Z2U8_ECOK1 Yqi fimbrial adhesin OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_3367 PE=4 SV=1	Escherichia coli
UPI0000D50C7A	UPI0000D50C7A			3.15													identical	A0A0H2Z2U8	A0A0H2Z2U8	226	1				strain/isolate=NC101 status=active	Escherichia coli
A0A0H2Z3C3	A0A0H2Z3C3		C		weak	  1.000	  0.000	17		2									A0A0H2Z3C3	235	1				strain/isolate=APEC UPTR A0A0H2Z3C3_ECOK1 Uncharacterized protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_3506 PE=4 SV=1	Escherichia coli
A0A0H2Z3D9	A0A0H2Z3D9		C		weak	  0.999	  0.000	2		1									A0A0H2Z3D9	237	1				strain/isolate=APEC UPTR A0A0H2Z3D9_ECOK1 Cytochrome OS=Escherichia coli O1:K1 / APEC OX=405955 GN=yhaH PE=4 SV=1	Escherichia coli
B7UJ10	B7UJ10	yhaH		8.2													identical	A0A0H2Z3D9	A0A0H2Z3D9	237	1				strain/isolate=E2348-69 UPTR B7UJ10_ECO27 Predicted inner membrane protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=yhaH PE=4 SV=1	Escherichia coli
UPI0000DAD020	UPI0000DAD020			8.2													identical	A0A0H2Z3D9	A0A0H2Z3D9	237	1				strain/isolate=NC101 status=active	Escherichia coli
A0A0H2Z501	A0A0H2Z501		C		weak	  0.999	  0.000	1		1									A0A0H2Z501	259	1				strain/isolate=APEC UPTR A0A0H2Z501_ECOK1 Ethanolamine utilization protein EutE OS=Escherichia coli O1:K1 / APEC OX=405955 GN=eutE PE=4 SV=1	Escherichia coli
A0A0H2Z5I6	A0A0H2Z5I6		C		weak	  0.999	  0.000	1		1									A0A0H2Z5I6	272	1				strain/isolate=APEC UPTR A0A0H2Z5I6_ECOK1 Amino acid antiporter OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_2263 PE=3 SV=1	Escherichia coli
A0A0H2Z625	A0A0H2Z625		C		weak	  1.000	  0.000	1		1									A0A0H2Z625	281	1				strain/isolate=APEC UPTR A0A0H2Z625_ECOK1 Maturase-related protein OS=Escherichia coli O1:K1 / APEC OX=405955 GN=APECO1_2297 PE=4 SV=1	Escherichia coli
A0A140N5U4	A0A140N5U4		C		weak	  0.992	  0.000	8		1									A0A140N5U4	300	1				strain/isolate=BL21 UPTR A0A140N5U4_ECOBD Polysaccharide biosynthesis protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1618 PE=3 SV=1	Escherichia coli
A0A140N8R3	A0A140N8R3		C		weak	  1.000	  0.000	4		1									A0A140N8R3	309	1				strain/isolate=BL21 UPTR A0A140N8R3_ECOBD RepB plasmid partition OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1063 PE=4 SV=1	Escherichia coli
A0A140N9S8	A0A140N9S8		C		weak	  1.000	  0.000	30		4									A0A140N9S8	316	1				strain/isolate=BL21 UPTR A0A140N9S8_ECOBD Uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2072 PE=4 SV=1	Escherichia coli
A0A140NBK9	A0A140NBK9		C		weak	  1.000	  0.000	2		1									A0A140NBK9	323	1				strain/isolate=BL21 UPTR A0A140NBK9_ECOBD Tail assembly chaperone gp38 OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_2753 PE=4 SV=1	Escherichia coli
A0A140NEJ5	A0A140NEJ5		C		weak	  0.997	  0.000	2		1									A0A140NEJ5	341	1				"strain/isolate=BL21 UPTR A0A140NEJ5_ECOBD 3,4-dihydroxyphenylacetate 2,3-dioxygenase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_3668 PE=4 SV=1"	Escherichia coli
D6IHQ9	D6IHQ9	ECDG_02744		5.3													identical	A0A140NEJ5	A0A140NEJ5	341	1				"strain/isolate=B185 UPTR D6IHQ9_ECOLX 3,4-dihydroxyphenylacetate 2,3-dioxygenase OS=Escherichia coli B185 OX=550676 GN=ECDG_02744 PE=4 SV=1"	Escherichia coli
A1AAH9	A1AAH9	yciB	C		weak	  0.999	  0.000	4		1									A1AAH9	351	1				strain/isolate=APEC UPSP YCIB_ECOK1 Inner membrane-spanning protein YciB OS=Escherichia coli O1:K1 / APEC OX=405955 GN=yciB PE=3 SV=1	Escherichia coli
B7UQE5	B7UQE5	yciB		6.15													identical	A1AAH9	A1AAH9	351	1				strain/isolate=E2348-69 UPSP YCIB_ECO27 Inner membrane-spanning protein YciB OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=yciB PE=3 SV=1	Escherichia coli
ECFI20_01214	ECFI20_01214			6.15													identical	A1AAH9	A1AAH9	351	1				strain/isolate=ST131 Septation protein A OS=Escherichia coli (strain K12) OX=83333 GN=FAZ83_20965 PE=3 SV=1	Escherichia coli
ECFI4_01142	ECFI4_01142			6.15													identical	A1AAH9	A1AAH9	351	1				strain/isolate=ST73 Septation protein A OS=Escherichia coli (strain K12) OX=83333 GN=FAZ83_20965 PE=3 SV=1	Escherichia coli
UPI000000E96D	UPI000000E96D			6.15													identical	A1AAH9	A1AAH9	351	1				strain/isolate=ATCC_25922 status=active	Escherichia coli
A1AD97	A1AD97	rhmA	C		weak	  1.000	  0.000	1		1									A1AD97	352	1				strain/isolate=APEC UPSP RHMA_ECOK1 2-keto-3-deoxy-L-rhamnonate aldolase OS=Escherichia coli O1:K1 / APEC OX=405955 GN=rhmA PE=3 SV=1	Escherichia coli
ECFI4_02035	ECFI4_02035			3.75													identical	A1AD97	A1AD97	352	1				strain/isolate=ST73 2-keto-3-deoxy-L-rhamnonate aldolase OS=Escherichia coli (strain K12) OX=83333 GN=FAZ83_01070 PE=3 SV=1	Escherichia coli
UPI00000DEDE3	UPI00000DEDE3			3.75													identical	A1AD97	A1AD97	352	1				strain/isolate=ATCC_25922 status=active	Escherichia coli
A5A613	A5A613	yciY	C		weak	  1.000	  0.000	121		3									A5A613	355	2				strain/isolate=K-12 UPSP YCIY_ECOLI Uncharacterized protein YciY OS=Escherichia coli (strain K12) OX=83333 GN=yciY PE=3 SV=1	Escherichia coli
UPI0000226400	UPI0000226400			20.21													indistinguishable	A5A613	A5A613	355	2				strain/isolate=K-12_NCM3722 status=active	Escherichia coli
A1AAH4	A1AAH4	yciY		33.33													identical	A5A613	A5A613	355	2				strain/isolate=APEC UPSP YCIY_ECOK1 Uncharacterized protein YciY OS=Escherichia coli O1:K1 / APEC OX=405955 GN=yciY PE=3 SV=2	Escherichia coli
B7UQE0	B7UQE0	yciY		33.33													identical	A5A613	A5A613	355	2				strain/isolate=E2348-69 UPTR B7UQE0_ECO27 Uncharacterized protein YciY OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=yciY PE=3 SV=1	Escherichia coli
UPI00000502F6	UPI00000502F6			33.33													identical	A5A613	A5A613	355	2				"strain/isolate=BW25113,K-12_W3110,K-12_MC4100 status=active"	Escherichia coli
A5A615	A5A615	yncL	C		weak	  0.999	  0.000	11		3									A5A615	357	2				strain/isolate=K-12 UPSP YNCL_ECOLI Uncharacterized protein YncL OS=Escherichia coli (strain K12) OX=83333 GN=yncL PE=1 SV=1	Escherichia coli
B7URJ1	B7URJ1	yncL		35.48													indistinguishable	A5A615	A5A615	357	2				strain/isolate=E2348-69 UPTR B7URJ1_ECO27 Stress response membrane protein YncL OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=yncL PE=4 SV=1	Escherichia coli
UPI00000502F2	UPI00000502F2			35.48													identical	A5A615	A5A615	357	2				"strain/isolate=BW25113,K-12_W3110,K-12_MC4100 status=active"	Escherichia coli
A5A618	A5A618	ynhF	C		weak	  0.999	  0.000	1		1									A5A618	358	1				strain/isolate=K-12 UPSP YNHF_ECOLI Uncharacterized protein YnhF OS=Escherichia coli (strain K12) OX=83333 GN=ynhF PE=1 SV=1	Escherichia coli
B7URZ8	B7URZ8	ynhF		100													identical	A5A618	A5A618	358	1				strain/isolate=E2348-69 UPTR B7URZ8_ECO27 Stress response protein YnhF OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=ynhF PE=4 SV=1	Escherichia coli
ECFI10_01621	ECFI10_01621			100													identical	A5A618	A5A618	358	1				strain/isolate=ST93 Stress response protein YnhF OS=Escherichia coli (strain K12) OX=83333 GN=ynhF PE=4 SV=1	Escherichia coli
ECFI19_01610	ECFI19_01610			100													identical	A5A618	A5A618	358	1				strain/isolate=ST1421 Stress response protein YnhF OS=Escherichia coli (strain K12) OX=83333 GN=ynhF PE=4 SV=1	Escherichia coli
ECFI20_01560	ECFI20_01560			100													identical	A5A618	A5A618	358	1				strain/isolate=ST131 Stress response protein YnhF OS=Escherichia coli (strain K12) OX=83333 GN=ynhF PE=4 SV=1	Escherichia coli
ECFI4_01452	ECFI4_01452			100													identical	A5A618	A5A618	358	1				strain/isolate=ST73 Stress response protein YnhF OS=Escherichia coli (strain K12) OX=83333 GN=ynhF PE=4 SV=1	Escherichia coli
UPI0000DACE60	UPI0000DACE60			100													identical	A5A618	A5A618	358	1				"strain/isolate=NC101,BW25113,K-12_NCM3722,K-12_MC4100,ATCC_25922,K-12_W3110 status=active"	Escherichia coli
A5A621	A5A621	ypfM	C		weak	  0.999	  0.000	37		1									A5A621	359	1				strain/isolate=K-12 UPSP YPFM_ECOLI Uncharacterized protein YpfM OS=Escherichia coli (strain K12) OX=83333 GN=ypfM PE=1 SV=1	Escherichia coli
UPI00000502F3	UPI00000502F3			78.95													identical	A5A621	A5A621	359	1				"strain/isolate=K-12_W3110,K-12_MC4100,BW25113 status=active"	Escherichia coli
A5A627	A5A627	tisB	C		weak	  0.999	  0.000	19		1									A5A627	360	2				strain/isolate=K-12 UPSP TISB_ECOLI Small toxic protein TisB OS=Escherichia coli (strain K12) OX=83333 GN=tisB PE=1 SV=1	Escherichia coli
ECFI10_03599	ECFI10_03599			48.28													indistinguishable	A5A627	A5A627	360	2				strain/isolate=ST93 Type I toxin-antitoxin system toxin TisB OS=Escherichia coli (strain K12) OX=83333 GN=tisB PE=4 SV=1	Escherichia coli
UPI0000602F2B	UPI0000602F2B			48.28													identical	A5A627	A5A627	360	2				"strain/isolate=K-12_NCM3722,BW25113,K-12_W3110,K-12_MC4100 status=active"	Escherichia coli
ECFI19_03611	ECFI19_03611			48.28													identical	ECFI10_03599	A5A627	360	2				strain/isolate=ST1421 Type I toxin-antitoxin system toxin TisB OS=Escherichia coli (strain K12) OX=83333 GN=tisB PE=4 SV=1	Escherichia coli
B7UG73	B7UG73	E2348C_2555	C		weak	  1.000	  0.000	5		1									B7UG73	369	1				strain/isolate=E2348-69 UPTR B7UG73_ECO27 Predicted fructokinase OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_2555 PE=3 SV=1	Escherichia coli
B7UG75	B7UG75	E2348C_2557	C		weak	  1.000	  0.000	8		2									B7UG75	370	1				strain/isolate=E2348-69 UPTR B7UG75_ECO27 Sucrose operon repressor OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_2557 PE=4 SV=1	Escherichia coli
B7UGD7	B7UGD7	E2348C_2622	C		weak	  1.000	  0.000	1		1									B7UGD7	371	1				strain/isolate=E2348-69 UPTR B7UGD7_ECO27 Predicted helicase OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_2622 PE=4 SV=1	Escherichia coli
B7UGE9	B7UGE9	E2348C_2635	C		weak	  0.999	  0.000	2		1									B7UGE9	375	1				strain/isolate=E2348-69 UPTR B7UGE9_ECO27 ANR family transcriptional regulator OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_2635 PE=4 SV=1	Escherichia coli
B7UGF8	B7UGF8	E2348C_2644	C		weak	  0.999	  0.000	2		1									B7UGF8	379	1				strain/isolate=E2348-69 UPTR B7UGF8_ECO27 Ead/Ea22-like family protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_2644 PE=4 SV=1	Escherichia coli
B7UGG8	B7UGG8	E2348C_2654	C		weak	  0.992	  0.000	2		1									B7UGG8	381	1				strain/isolate=E2348-69 UPTR B7UGG8_ECO27 Uncharacterized protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_2654 PE=4 SV=1	Escherichia coli
B7UGH3	B7UGH3	E2348C_2659	C		weak	  0.999	  0.000	1		1									B7UGH3	382	1				strain/isolate=E2348-69 UPTR B7UGH3_ECO27 DUF935 domain-containing protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_2659 PE=4 SV=1	Escherichia coli
B7UGH6	B7UGH6	E2348C_2662	C		weak	  0.999	  0.000	1		1									B7UGH6	383	1				strain/isolate=E2348-69 UPTR B7UGH6_ECO27 Protease (I) and scaffold (Z) protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_2662 PE=4 SV=1	Escherichia coli
B7UGI1	B7UGI1	E2348C_2667	C		weak	  0.999	  0.000	1		1									B7UGI1	385	1				strain/isolate=E2348-69 UPTR B7UGI1_ECO27 Mu-like prophage protein gp37 OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_2667 PE=4 SV=1	Escherichia coli
B7UGS5	B7UGS5	E2348C_2762	C		weak	  0.999	  0.000	1		1									B7UGS5	392	1				strain/isolate=E2348-69 UPTR B7UGS5_ECO27 Phage protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_2762 PE=4 SV=1	Escherichia coli
B7UGS8	B7UGS8	E2348C_2765	C		weak	  0.999	  0.000	4		1									B7UGS8	393	1				strain/isolate=E2348-69 UPTR B7UGS8_ECO27 Uncharacterized protein OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_2765 PE=4 SV=1	Escherichia coli
B7UHF8	B7UHF8	E2348C_3008	C		weak	  0.999	  0.000	1		1									B7UHF8	404	1				strain/isolate=E2348-69 UPTR B7UHF8_ECO27 Phenolic acid decarboxylase OS=Escherichia coli O127:H6 (strain E2348/69 / EPEC) OX=574521 GN=E2348C_3008 PE=3 SV=1	Escherichia coli
